,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,1100015,Alta Floresta D'Oeste,11,RO,496.88994614003593,504.7489001692045,489.63214890016934,499.5707360861759,484.9407783417936
1,1100023,Ariquemes,11,RO,501.55269461077904,500.928743098408,495.3698603442672,495.123846424797,481.8642416368951
2,1100031,Cabixi,11,RO,496.4702380952379,491.96666666666675,474.9022222222222,478.8809523809522,448.44444444444446
3,1100049,Cacoal,11,RO,507.8511184755586,508.90926261319595,500.26012936610516,504.31894504280615,494.608020698577
4,1100056,Cerejeiras,11,RO,507.4907590759077,506.660725075529,493.5879154078545,506.16270627062664,491.8429003021148
5,1100064,Colorado do Oeste,11,RO,504.68149253731366,504.50252100840333,491.20784313725454,503.951940298507,482.57703081232495
6,1100072,Corumbiara,11,RO,502.3606060606062,490.0816513761467,483.5532110091744,494.4727272727271,449.35779816513764
7,1100080,Costa Marques,11,RO,478.92088888888884,486.23276595744693,476.69148936170194,481.3839999999999,437.531914893617
8,1100098,Espigão D'Oeste,11,RO,502.9190995907227,513.448758169935,495.64091503267986,505.6040927694404,503.05882352941177
9,1100106,Guajará-Mirim,11,RO,478.9865310610229,478.10891946992956,478.30667686034764,470.3017592083565,428.76656472986747
10,1100114,Jaru,11,RO,489.0691240875914,492.4143826322929,485.7164179104476,485.46021897810255,456.3636363636364
11,1100122,Ji-Paraná,11,RO,500.2787679671468,499.8169861963205,493.4580713190193,497.2868788501024,485.069018404908
12,1100130,Machadinho D'Oeste,11,RO,496.52356979405,501.23531914893607,488.85978723404196,491.8734553775745,470.3404255319149
13,1100148,Nova Brasilândia D'Oeste,11,RO,502.96621621621637,493.29564164648906,486.85641646489086,499.1410810810805,448.18401937046
14,1100155,Ouro Preto do Oeste,11,RO,501.5177330895801,504.63516295025676,496.2823327615781,500.1771480804388,497.1012006861063
15,1100189,Pimenta Bueno,11,RO,499.771076011846,498.23240072202185,491.9507220216609,491.3401776900298,479.2238267148014
16,1100205,Porto Velho,11,RO,498.0342692914214,504.07364315431124,496.34495555975593,495.5818759855555,493.1155446293495
17,1100254,Presidente Médici,11,RO,493.51674074074117,494.6380222841218,484.52688022284127,495.2727407407408,476.991643454039
18,1100262,Rio Crespo,11,RO,492.4057142857142,483.4786666666667,476.6039999999999,481.7714285714285,459.2
19,1100288,Rolim de Moura,11,RO,505.2276095797563,504.0948783610752,494.94511310285884,495.391775869859,475.59539052496797
20,1100296,Santa Luzia D'Oeste,11,RO,492.2388625592417,495.80630630630606,485.7788288288291,487.01753554502363,464.68468468468467
21,1100304,Vilhena,11,RO,505.34807849550356,509.1437476099422,501.3549521988525,503.1386753883896,491.76290630975143
22,1100320,São Miguel do Guaporé,11,RO,489.7940170940166,483.1584000000001,473.8197999999999,474.6623931623935,456.84
23,1100338,Nova Mamoré,11,RO,476.8934984520121,483.64693877551025,478.0174927113706,476.8464396284825,443.265306122449
24,1100346,Alvorada D'Oeste,11,RO,497.89867374005325,498.8,486.3233082706772,483.27453580901886,478.29573934837094
25,1100379,Alto Alegre dos Parecis,11,RO,498.92341269841273,506.9790697674417,483.2837209302327,490.37619047619063,478.29457364341084
26,1100403,Alto Paraíso,11,RO,494.18721461187215,496.02468085106403,485.54638297872333,483.0287671232874,455.2340425531915
27,1100452,Buritis,11,RO,494.2591752577326,492.9524953789279,487.1953789279113,489.0618556701031,457.264325323475
28,1100502,Novo Horizonte do Oeste,11,RO,495.1315789473682,496.1026717557254,486.05305343511446,487.2194331983803,475.0381679389313
29,1100601,Cacaulândia,11,RO,497.74880952380954,506.3802197802197,485.9131868131869,488.73333333333323,467.6923076923077
30,1100700,Campo Novo de Rondônia,11,RO,480.55047619047616,488.0612612612611,482.5774774774772,474.8771428571427,493.3333333333333
31,1100809,Candeias do Jamari,11,RO,482.71049180327816,487.8245481927711,481.08057228915663,481.69508196721347,457.1686746987952
32,1100908,Castanheiras,11,RO,491.4710526315789,498.2524390243902,486.16707317073195,481.21184210526326,470.0
33,1100924,Chupinguaia,11,RO,485.90227272727265,489.6106382978724,477.3723404255318,492.80909090909097,471.48936170212767
34,1100940,Cujubim,11,RO,486.745930232558,480.547311827957,472.60698924731196,480.01453488372084,478.494623655914
